,Fold,Corruption,Severity,LogLikelihood
474,6,brightness,2,-3744.93603515625
475,6,brightness,3,-3751.122314453125
476,6,brightness,4,-3757.743896484375
477,6,brightness,5,-3769.638427734375
478,6,contrast,1,-4097.1767578125
479,6,contrast,2,-4671.59619140625
480,6,contrast,3,-4961.69873046875
481,6,contrast,4,-5261.58740234375
482,6,contrast,5,-5641.7265625
483,6,defocus_blur,1,-3751.346435546875
484,6,defocus_blur,2,-3772.014892578125
485,6,defocus_blur,3,-3789.671142578125
486,6,defocus_blur,4,-3801.029541015625
487,6,defocus_blur,5,-3831.736083984375
488,6,elastic,1,-3783.167236328125
489,6,elastic,2,-3787.320068359375
490,6,elastic,3,-3796.893310546875
491,6,elastic,4,-3801.08349609375
492,6,elastic,5,-3799.149658203125
493,6,fog,1,-3767.736083984375
494,6,fog,2,-3870.7255859375
495,6,fog,3,-3930.44091796875
496,6,fog,4,-3984.999267578125
497,6,fog,5,-3976.227294921875
498,6,frost,1,-3801.802490234375
499,6,frost,2,-3884.052490234375
500,6,frost,3,-3982.399169921875
501,6,frost,4,-3992.8251953125
502,6,frost,5,-4073.755126953125
503,6,frosted_glass_blur,1,-3763.392822265625
504,6,frosted_glass_blur,2,-3765.9775390625
505,6,frosted_glass_blur,3,-3781.982421875
506,6,frosted_glass_blur,4,-3779.899169921875
507,6,frosted_glass_blur,5,-3795.04150390625
508,6,gaussian_blur,1,-3750.91552734375
509,6,gaussian_blur,2,-3790.2216796875
510,6,gaussian_blur,3,-3807.147216796875
511,6,gaussian_blur,4,-3823.644775390625
512,6,gaussian_blur,5,-3857.57763671875
513,6,gaussian_noise,1,-3749.1640625
514,6,gaussian_noise,2,-3762.41796875
515,6,gaussian_noise,3,-3776.379150390625
516,6,gaussian_noise,4,-3785.905517578125
517,6,gaussian_noise,5,-3796.36279296875
518,6,impulse_noise,1,-3758.7294921875
519,6,impulse_noise,2,-3777.40234375
520,6,impulse_noise,3,-3798.0
521,6,impulse_noise,4,-3831.76708984375
522,6,impulse_noise,5,-3860.039306640625
523,6,jpeg_compression,1,-3737.087158203125
524,6,jpeg_compression,2,-3737.3583984375
525,6,jpeg_compression,3,-3737.2236328125
526,6,jpeg_compression,4,-3737.90234375
527,6,jpeg_compression,5,-3738.6962890625
528,6,motion_blur,1,-3777.07568359375
529,6,motion_blur,2,-3803.228515625
530,6,motion_blur,3,-3832.507568359375
531,6,motion_blur,4,-3831.947509765625
532,6,motion_blur,5,-3860.912353515625
533,6,pixelate,1,-3746.07275390625
534,6,pixelate,2,-3751.813720703125
535,6,pixelate,3,-3756.760009765625
536,6,pixelate,4,-3766.000732421875
537,6,pixelate,5,-3778.538818359375
538,6,saturate,1,-3823.772705078125
539,6,saturate,2,-3841.419921875
540,6,saturate,3,-3680.257568359375
541,6,saturate,4,-3585.996826171875
542,6,saturate,5,-3506.872802734375
543,6,shot_noise,1,-3746.236328125
544,6,shot_noise,2,-3752.83154296875
545,6,shot_noise,3,-3773.140869140625
546,6,shot_noise,4,-3780.80078125
547,6,shot_noise,5,-3799.67724609375
548,6,snow,1,-3745.750732421875
549,6,snow,2,-3759.19091796875
550,6,snow,3,-3740.949951171875
551,6,snow,4,-3758.30078125
552,6,snow,5,-3815.527099609375
553,6,spatter,1,-3734.531494140625
